product_code,name,base_unit,active
32023666,PP 701 BIJELA 50/66 NEVICO,kom,true
32023673,PP 701 BIJELA 50/66 SKELIN MONT,kom,true
32023676,PP 701 TON.CRNA 50/66 PROTEKA,kom,true
32023697,PP 735 BIJELA 15/66 200 NM MAX CRVENI TISAK,kom,true
32023698,PP 735 BIJELA 15/66 200 NM MAX PLAVI TISAK,kom,true
32023699,PP 701 BIJELA 50/66 TECHNOSTORE,kom,true
32023708,PP 701 BIJELA 50/66 KEMIG 4U,kom,true
32023719,PP 701 BIJELA 50/66 COMPANY WALL SI,kom,true
32023741,PVC NARANČASTA 50/66 NESTANDARDNO TRANSP.PAKIRANJE,kom,true
32023742,PP 701 BIJELA 50/66 CABELLO,kom,true
32023747,PVC BIJELA 50/66 SLOHOPS,kom,true
32023760,PVC SMEĐA 50/66 KOCKA,kom,true
32023761,PVC BIJELA 50/66 DANKON,kom,true
32023765,PP 701 BIJELA 50/66 CHESI,kom,true
32023766,PP 701 BIJELA 50/66 CALIFORNIA,kom,true
32023773,PP 701 BIJELA 50/66 NINI TARTUFI,kom,true
32023778,PP 701 BIJELA 50/66 HELIOS RESINS,kom,true
32023793,PP 701 BIJELA 50/66 KLINTEK,kom,true
32023803,PP 701 BIJELA 50/66 SISTEMA,kom,true
32023828,PP 701 PROZIRNA 50/66 TINKTURA,kom,true
32023850,PP 701 BIJELA 50/66 NEVER GREEN,kom,true
32023863,PP 701 BIJELA 50/66 FRIGO FOOD,kom,true
32023866,PP 701 BIJELA 50/66 PAVLOVIĆ PROMET,kom,true
32023875,PP 701 BIJELA 50/66 VODOINTERIJERI,kom,true
32023881,PP 701 BIJELA 50/66  ELCON GERAETEBAU,kom,true
32023882,PP 701 TON.NARANČASTA 50/66 BRUCHGEFAHR!,kom,true
32023886,PP 701 BIJELA 50/66  RIVIERA DEKOR,kom,true
32023887,PP 701 BIJELA 50/66 CRVENI KRIŽ,kom,true
32023894,PP 701 BIJELA 50/66 MEGALANT,kom,true
32023895,PP 701 BIJELA 50/66 PARTYPEK,kom,true
32023909,PVC BIJELA 50/66 OK KACJAN,kom,true
32023912,PP 701 BIJELA 50/66 AFRODITA,kom,true
32023913,PP 701 BIJELA 50/66 MISST,kom,true
32023924,PVC PROZIRNA 50/66 ISMART,kom,true
32023930,PP 701 PROZIRNA 50/66 RONIS,kom,true
32023948,PP 701 BIJELA 50/66 ZVG,kom,true
32023949,PP 701 BIJELA 50/66 LJEKARNE PERAK,kom,true
32023954,PP 701 BIJELA 50/66 ELSTAR,kom,true
32023962,PP 701 BIJELA 50/66 IVIČEK,kom,true
32023963,PP 701 BIJELA 50/66 HIDROPNEUMAT,kom,true
32023964,PP 701 BIJELA 50/66 VIRA,kom,true
32023971,PP 701 BIJELA 50/66 HIDRODOM-ŽELJEZARA,kom,true
